Dataset,Modelo,Explicador,Node,Mean Fidelity,Std Fidelity,Min Fidelity,Max Fidelity
CiteSeer,GAT,GNNExplainer,249.0,0.09541155894597371,0.03402765894626926,0.04927468299865723,0.1303275227546692
CiteSeer,GraphSAGE,GNNExplainer,633.0,0.003037691116333008,0.0004909742396403227,0.0025159120559692383,0.0036953091621398926
CiteSeer,GraphSAGE,GNNExplainer,102.0,0.005422155062357585,0.0033015197377351388,0.0025264620780944824,0.010041952133178711
CiteSeer,GraphSAGE,GNNExplainer,1696.0,0.3126981755097707,0.1362092935476985,0.12142831087112427,0.4281153380870819
CiteSeer,GraphSAGE,GNNExplainer,1515.0,0.455720196167628,0.06365594380872029,0.3893637955188751,0.5415836870670319
CiteSeer,GraphSAGE,GNNExplainer,1375.0,0.20761469999949136,0.028401092946138202,0.17612674832344055,0.2449529990553856
CiteSeer,GraphSAGE,GNNExplainer,819.0,0.09238320589065552,0.04810457166794168,0.04556870460510254,0.15853828191757202
CiteSeer,GraphSAGE,GNNExplainer,583.0,0.7231250603993734,0.06811958570230713,0.6380062103271484,0.8047549724578857
CiteSeer,GraphSAGE,GNNExplainer,489.0,0.0015076200167338054,0.000993898324521003,0.0006728768348693848,0.002904355525970459
CiteSeer,GraphSAGE,GNNExplainer,2644.0,0.241883913675944,0.09768396766501736,0.14470255374908447,0.37550443410873413
CiteSeer,GraphSAGE,GNNExplainer,140.0,0.5058726643522581,0.05226891185466534,0.43390413373708725,0.5564670860767365
CiteSeer,GraphSAGE,GNNExplainer,125.0,0.17530375719070435,0.00419321959645813,0.17034375667572021,0.18059861660003662
CiteSeer,GraphSAGE,GNNExplainer,527.0,0.004158675670623779,0.000975451950309632,0.0027791857719421387,0.004852354526519775
CiteSeer,GraphSAGE,GNNExplainer,1337.0,0.00627666711807251,0.00411570220588604,0.002964913845062256,0.012077748775482178
CiteSeer,GraphSAGE,GNNExplainer,1436.0,0.2266497015953064,0.009353873369496845,0.21995651721954346,0.23987776041030884
CiteSeer,GraphSAGE,GNNExplainer,3164.0,0.33595186471939087,0.008273828753893365,0.3245547413825989,0.3439446687698364
CiteSeer,GraphSAGE,GNNExplainer,108.0,0.01049556334813436,0.002042196339842227,0.007774770259857178,0.012694895267486572
CiteSeer,GraphSAGE,GNNExplainer,1200.0,0.014605283737182617,0.009338335039255847,0.004589557647705078,0.027067720890045166
CiteSeer,GraphSAGE,GNNExplainer,2625.0,0.028497695922851562,0.008760852046352767,0.016816318035125732,0.037914395332336426
CiteSeer,GraphSAGE,GNNExplainer,1346.0,0.12951980034510294,0.06624527110995082,0.04777473211288452,0.21002769470214844
CiteSeer,GraphSAGE,GNNExplainer,2803.0,0.27672314643859863,0.11216480263280697,0.15465879440307617,0.4254857897758484
PubMed,GCN,GNNExplainer,14088.0,0.03125701347986857,0.02448542451513383,0.004654407501220703,0.06375545263290405
PubMed,GCN,GNNExplainer,2424.0,0.07347740729649861,0.010204555205885887,0.059152185916900635,0.08215343952178955
PubMed,GCN,GNNExplainer,515.0,0.026605844497680664,0.016278596228814255,0.010891258716583252,0.049032896757125854
PubMed,GCN,GNNExplainer,16344.0,0.08813846111297607,0.015071542126791926,0.07607680559158325,0.10938817262649536
PubMed,GCN,GNNExplainer,6064.0,0.021312872568766277,0.0069451209534573755,0.01289743185043335,0.029906630516052246
