Dataset,Modelo,Explicador,Node,Mean Fidelity,Std Fidelity,Min Fidelity,Max Fidelity
CiteSeer,GCN,GNNExplainer,2875.0,0.042129576206207275,0.011440977558926337,0.02721303701400757,0.055016160011291504
CiteSeer,GCN,GNNExplainer,2401.0,0.4600856800874074,0.05501422922861771,0.38841113448143005,0.5221320688724518
CiteSeer,GCN,GNNExplainer,2921.0,0.049906909465789795,0.055867329377382126,0.006963670253753662,0.12881237268447876
CiteSeer,GCN,GNNExplainer,2748.0,0.22540547450383505,0.035616805721321705,0.17538321018218994,0.25553178787231445
CiteSeer,GCN,GNNExplainer,2344.0,0.31738189856211346,0.03157017207910953,0.272735059261322,0.3397972583770752
CiteSeer,GCN,GNNExplainer,2342.0,0.010256052017211914,0.005016802049181805,0.0056871771812438965,0.017241179943084717
CiteSeer,GCN,GNNExplainer,2408.0,0.16850334405899048,0.04970660090688204,0.11119204759597778,0.23241066932678223
CiteSeer,GAT,GNNExplainer,2972.0,0.13106143474578857,0.02165109609246044,0.11484408378601074,0.16166239976882935
CiteSeer,GAT,GNNExplainer,2427.0,0.0798460841178894,0.048367746789484196,0.013158738613128662,0.12637144327163696
CiteSeer,GAT,GNNExplainer,2337.0,0.37981609255075455,0.08784318099077709,0.2679298520088196,0.48251109570264816
CiteSeer,GAT,GNNExplainer,3079.0,0.03457081317901611,0.0177422656098911,0.018399417400360107,0.059271156787872314
CiteSeer,GAT,GNNExplainer,2596.0,0.0010686516761779785,0.000655741887597222,0.0002575516700744629,0.0018635392189025879
CiteSeer,GAT,GNNExplainer,2565.0,0.012192984422047934,0.007234440137387279,0.004188716411590576,0.021713674068450928
CiteSeer,GAT,GNNExplainer,2542.0,0.038590033849080406,0.02776737157522661,0.006469607353210449,0.07421422004699707
CiteSeer,GAT,GNNExplainer,2455.0,0.003038644790649414,0.001077802516005618,0.0016643404960632324,0.004296720027923584
CiteSeer,GAT,GNNExplainer,3074.0,0.03405708074569702,0.026275982771894243,0.005635857582092285,0.06899970769882202
